Data;iloϾ
2008-01;413194
2008-02;400442
2008-03;383625
2008-04;429479
2008-05;382434
2008-06;415443
2008-07;406133
2008-08;389315
2008-09;415370
2008-10;452087
2008-11;423084
2008-12;401939
2009-01;494433
2009-02;455521
2009-03;532209
2009-04;474674
2009-05;465032
2009-06;463651
2009-07;475866
2009-08;413813
2009-09;483720
2009-10;502588
2009-11;482339
2009-12;474656
2010-01;487784
2010-02;483486
2010-03;541124
2010-04;503775
2010-05;483486
2010-06;489061
2010-07;471453
2010-08;418810
2010-09;498109
2010-10;492268
2010-11;491517
2010-12;490041
2011-01;561750
2011-02;485083
2011-03;544753
2011-04;479980
2011-05;497848
2011-06;460400
2011-07;479651
2011-08;419918
2011-09;517424
2011-10;525343
2011-11;661376
2011-12;890129
2012-01;0
2012-02;30650
2012-03;352197
2012-04;283191
2012-05;304471
2012-06;338475
2012-07;283010
2012-08;280781
2012-09;313246
2012-10;325894
2012-11;348967
2012-12;305935
2013-01;372276
2013-02;328907
2013-03;372195
2013-04;339811
2013-05;361596
2013-06;320528
2013-07;358035
2013-08;302554
2013-09;342518
2013-10;374173
2013-11;368439
2013-12;312096
2014-01;395408
2014-02;342660
2014-03;455392
2014-04;381719
2014-05;412581
2014-06;358727
2014-07;411063
2014-08;322773
2014-09;397762
2014-10;392769
2014-11;414035
2014-12;352972
2015-01;426240
2015-02;365224
2015-03;434898
2015-04;410280
2015-05;422045
2015-06;408882
2015-07;415773
2015-08;348552
2015-09;411329
2015-10;426570
2015-11;382844
2015-12;360561
2016-01;428538
2016-02;403789
2016-03;465541
2016-04;442491
2016-05;407341
2016-06;399600
2016-07;407763
2016-08;379531
2016-09;446926
2016-10;412795
2016-11;435520
2016-12;409834
