Date,Open,High,Low,Close,Volume
2011-05-31,34.82,34.82,32.54,32.54,366
2011-06-01,35.667,35.667,32.315,32.315,4047
2011-06-02,34.545,34.545,31.948,31.948,3030
2011-06-03,31.652,31.652,31.329,31.329,28
2011-06-06,31.339,31.339,31.112,31.138,121
2011-06-07,30.853,30.88,30.775,30.791,1791
2011-06-08,30.581,30.791,30.557,30.687,329
2011-06-09,30.727,31.348,30.589,31.348,787
2011-06-10,30.956,31,30.784,30.929,459
2011-06-13,30.476,30.887,30.476,30.784,921
2011-06-14,30.468,30.468,30.468,30.468,10
2011-06-15,31.121,31.253,31.06,31.06,1039
2011-06-16,31.339,31.593,31.339,31.593,350
2011-06-17,31.555,31.601,31.545,31.545,100
2011-06-20,31.417,31.514,31.375,31.514,215
2011-06-21,32.211,32.211,31.565,31.713,656
2011-06-22,31.706,31.706,31.706,31.706,41
2011-06-24,31.975,31.975,31.643,31.643,185
2011-06-27,31.775,31.775,31.775,31.775,56
2011-06-28,31.775,31.835,31.775,31.835,284
2011-06-29,31.931,32.278,31.931,32.113,116
2011-06-30,33.556,33.556,33.556,33.556,10
2011-07-01,32.095,32.201,31.869,32.201,929
2011-07-04,32.184,32.211,32.184,32.211,41
2011-07-05,32.227,32.252,32.227,32.252,2300
2011-07-06,32.47,32.594,32.47,32.594,103
2011-07-07,32.827,33.038,32.802,32.853,1241
2011-07-08,32.784,32.784,32.722,32.722,99
2011-07-11,33.211,33.253,33.211,33.253,78
2011-07-12,34.545,34.545,33.393,33.393,109
2011-07-13,33.586,33.586,33.586,33.586,5
2011-07-14,33.952,33.952,33.166,33.238,174
2011-07-15,33.045,33.081,33.045,33.081,37
2011-07-18,33.316,33.316,33.124,33.124,100
2011-07-19,33.081,33.081,33.081,33.081,161
2011-07-20,33.272,33.272,33.166,33.166,173
2011-07-21,33.297,33.297,33.124,33.124,187
2011-07-22,33.089,33.089,33.089,33.089,5
2011-07-25,33.062,33.062,33.062,33.062,15
2011-07-27,32.498,32.498,32.498,32.498,166
2011-07-29,32.307,32.307,32.175,32.175,121
2011-08-01,34.545,34.545,31.879,31.879,2513
2011-08-02,31.965,32.035,31.965,32.035,1025
2011-08-03,31.384,31.425,31.13,31.13,989
2011-08-04,31.356,31.356,31.356,31.356,30
2011-08-05,30.077,30.468,30.077,30.209,3205
2011-08-08,29.337,29.685,29.337,29.478,394
2011-08-09,28.658,29.33,28.484,29.33,1015
2011-08-10,29.745,29.745,29.075,29.251,778
2011-08-11,29.65,29.753,29.372,29.485,519
2011-08-12,30.295,30.589,30.19,30.304,1610
2011-08-16,30.468,30.468,30.468,30.468,10
2011-08-17,30.598,30.598,30.452,30.452,56
2011-08-18,30.216,30.24,29.685,29.685,376
2011-08-19,29.452,29.452,29.293,29.293,172
2011-08-22,29.224,29.284,29.224,29.284,119
2011-08-23,29.197,29.197,29.049,29.049,98
2011-08-24,29.65,29.65,29.65,29.65,30
2011-08-25,29.947,30.365,29.947,30.365,150
2011-08-30,30.757,30.757,30.757,30.757,27
2011-08-31,31.097,31.456,31.088,31.343,2677
2011-09-01,31.296,31.296,31.296,31.296,25
2011-09-02,30.788,30.831,30.788,30.822,1708
2011-09-05,30.476,30.476,30.476,30.476,195
2011-09-06,30.476,30.476,30.476,30.476,116
2011-09-09,32.54,32.731,32.54,32.643,470
2011-09-12,32.158,32.158,32.158,32.158,28
2011-09-13,32.419,32.419,32.419,32.419,1149
2011-09-14,33.124,33.149,33.116,33.149,130
2011-09-15,33.375,33.375,33.375,33.375,310
2011-09-16,33.636,33.636,33.586,33.586,319
2011-09-19,34.291,34.291,34.291,34.291,2
2011-09-20,34.125,34.421,34.125,34.421,16
2011-09-21,34.649,34.649,34.649,34.649,88
2011-09-22,33.514,33.523,33.514,33.514,121
2011-09-23,33.952,33.952,33.141,33.141,142
2011-09-28,34.098,34.098,33.819,34.055,108
2011-09-29,33.514,33.514,33.514,33.514,5
2011-09-30,33.634,33.634,33.476,33.476,30
2011-10-04,32.121,32.121,31.956,31.956,66
2011-10-06,33.341,33.393,33.341,33.393,64
2011-10-10,33.375,33.375,33.375,33.375,11
2011-10-11,33.803,33.803,33.785,33.785,919
2011-10-12,33.645,33.645,33.471,33.471,1149
2011-10-13,33.471,33.471,33.471,33.471,1
2011-10-19,34.339,34.339,34.339,34.339,6
2011-10-24,34.969,34.969,34.943,34.943,9
2011-10-27,34.812,34.812,34.752,34.752,308
2011-10-28,34.594,34.994,34.594,34.994,349
2011-10-31,35.055,35.135,35.055,35.135,25
2011-11-02,35.179,35.179,34.943,34.969,425
2011-11-03,34.992,35.249,34.992,35.071,1021
2011-11-04,35.213,35.213,35.204,35.204,946
2011-11-07,35.693,35.693,35.153,35.153,144
2011-11-08,35.51,35.693,35.429,35.429,966
2011-11-09,35.796,35.796,35.601,35.716,448
2011-11-10,35.644,35.644,35.644,35.644,50
2011-11-15,36.11,36.11,35.996,35.996,37
2011-11-16,36.564,36.564,36.388,36.476,241
2011-11-17,36.319,36.319,36.103,36.103,109
2011-11-18,35.654,35.724,35.356,35.514,217
2011-11-21,33.081,35.283,33.081,34.925,2464
2011-11-22,34.925,35.143,34.925,35.143,122
2011-11-23,34.734,34.734,34.734,34.734,56
2011-11-24,35.031,35.031,35.031,35.031,3
2011-11-25,35.62,35.62,35.62,35.62,3
2011-11-28,35.675,36.239,35.675,36.239,560
2011-11-29,36.234,36.343,36.185,36.343,252
2011-11-30,36.861,36.908,36.861,36.908,144
2011-12-01,37.11,37.11,37.081,37.081,352
2011-12-02,37.188,37.551,37.188,37.551,23
2011-12-05,37.295,37.295,37.234,37.234,287
2011-12-06,37.347,37.347,37.234,37.234,344
2011-12-09,37.392,37.392,37.392,37.392,790
2011-12-12,37.647,37.832,37.602,37.751,3467
2011-12-13,37.982,37.982,37.982,37.982,4
2011-12-14,40.106,40.106,38.291,38.291,81
2011-12-15,37.955,37.955,37.568,37.568,298
2011-12-16,37.69,37.69,37.574,37.574,59
2011-12-19,37.47,37.621,37.374,37.374,1317
2011-12-20,37.03,37.03,37.03,37.03,39
2011-12-21,37.719,37.719,37.647,37.647,35
2011-12-22,37.745,37.877,37.745,37.806,258
2011-12-23,38.157,38.157,38.157,38.157,40
2011-12-27,38.113,38.131,37.982,38.026,106
2011-12-28,38.352,38.352,37.902,37.902,186
2011-12-29,38.123,38.483,38.123,38.334,707
2011-12-30,38.412,38.794,38.412,38.794,526
2012-01-03,38.483,39.217,38.483,38.943,682
2012-01-04,39.057,39.446,38.943,39.314,1646
2012-01-05,39.656,39.904,39.656,39.859,870
2012-01-09,43.544,43.544,40.124,40.124,387
2012-01-10,40.425,40.425,40.203,40.203,544
2012-01-11,43.465,43.465,40.115,40.115,562
2012-01-12,40.425,40.425,39.588,39.588,707
2012-01-13,39.693,39.693,39.693,39.693,23
2012-01-16,40.089,40.089,39.877,39.877,311
2012-01-17,39.975,39.992,39.745,39.745,2571
2012-01-18,39.897,39.897,39.03,39.242,454
2012-01-19,39.473,39.473,39.173,39.294,534
2012-01-20,39.182,39.182,39.182,39.182,37
2012-01-23,38.74,38.969,38.326,38.326,3006
2012-01-24,38.794,38.794,38.627,38.705,43
2012-01-25,38.705,38.794,38.705,38.794,29
2012-01-26,38.342,38.342,38.22,38.22,162
2012-01-27,38.131,38.186,37.392,38.186,2170
2012-01-30,37.736,37.921,37.736,37.921,131
2012-01-31,37.925,37.925,37.568,37.799,406
2012-02-01,37.797,37.797,37.673,37.673,26
2012-02-02,37.602,37.832,37.543,37.736,2427
2012-02-03,37.814,37.912,37.814,37.912,341
2012-02-07,37.912,37.912,37.912,37.912,12
